cmsid,email,emergency_number,full_name,lobby_id,phone_number,role,sfa_id
DEE1490,babu2@gmail.com,9876543311,BABU LAL/RL,DEE,9087654422,member,SFA4018
DEE1559,balram@gmail.com,9876543312,BALRAM MEENA,DEE,9087654423,member,SFA4019
DEE1353,deepak1@gmail.com,9876543313,DEEPAK KUMAR AS,DEE,9087654424,member,SFA4021
DEE1517,deveesahay@gmail.com,9876543314,DEVEESAHAY MEENA,DEE,9087654425,member,SFA4022
DEE1611,deepak2@gmail.com,9876543315,DEEPAK YADAV,DEE,9087654426,member,SFA4025
DEE1825,gopal@gmail.com,9876543316,GOPAL RAM SWAMI,DEE,9087654427,member,SFA4027
DEE1744,harkesh@gmail.com,9876543317,HARKESH MEENA,DEE,9087654428,member,SFA4029
DEE1540,hans@gmail.com,9876543318,HANS RAJ MEENA,DEE,9087654429,member,SFA4030
DEE1311,harikesh@gmail.com,9876543319,HARIKESH MEENA,DEE,9087654430,member,SFA4031
DEE1656,hari@gmail.com,9876543320,HARI MOHAN MEENA,DEE,9087654431,member,SFA4032
DEE1411,jitendra@gmail.com,9876543321,JITENDRA KUMAR,DEE,9087654432,member,SFA4035
DEE1625,kavindra@gmail.com,9876543322,KAVINDRA SONI,DEE,9087654433,member,SFA4036
DEE1236,kamlesh1@gmail.com,9876543323,KAMLESH KUMAR MEENA,DEE,9087654434,collection member,SFA4037
DEE1633,ajay3@gmail.com,9876543324,AJAY KUMAR GOSVAMI,DEE,9087654435,member,SFA4038
DEE1798,kanti@gmail.com,9876543325,KANTI PRASAD BAIRWA,DEE,9087654436,member,SFA4039
DEE1785,kamal@gmail.com,9876543326,KAMAL CHAND MEENA,DEE,9087654437,member,SFA4040
DEE1588,sudesh@gmail.com,9876543327,SUDESH KUMAR,DEE,9087654438,member,SFA4041
DEE1788,kamlesh2@gmail.com,9876543328,KAMLESH KUMAR KOLI,DEE,9087654439,member,SFA4042
DEE1789,lalit@gmail.com,9876543329,LALIT KISHOR,DEE,9087654440,member,SFA4043
DEE1494,mahesh@gmail.com,9876543330,MAHESH KUMAR MEENA,DEE,9087654441,member,SFA4045
DEE1597,mandeep@gmail.com,9876543331,MANDEEP SINGH,DEE,9087654442,member,SFA4047
DEE1642,mahendra1@gmail.com,9876543332,MAHENDRA KUMAR VERMA,DEE,9087654443,member,SFA4048
DEE1922,sunil2@gmail.com,9876543333,SUNIL KUMAR,DEE,9087654444,member,SFA4050
DEE1818,manoj3@gmail.com,9876543334,MANOJ KUMAR SHARMA,DEE,9087654445,member,SFA4051
DEE1776,manoj4@gmail.com,9876543335,MANOJ KUMAR MEENA,DEE,9087654446,member,SFA4052
DEE1351,nand1@gmail.com,9876543336,NAND KISHOR,DEE,9087654447,member,SFA4053
DEE1842,naveen2@gmail.com,9876543337,NAVEEN KUMAR MEENA,DEE,9087654448,member,SFA4054
DEE1432,narayan@gmail.com,9876543338,NARAYAN JEE,DEE,9087654449,member,SFA4056
DEE1467,sudhir1@gmail.com,9876543339,SUDHIR SINGH,DEE,9087654450,member,SFA4057
DEE1415,naveen3@gmail.com,9876543340,NAVEEN KUMAR,DEE,9087654451,member,SFA4059
DEE1315,naresh@gmail.com,9876543341,NARESH KUMAR YADAV,DEE,9087654452,member,SFA4060
DEE1693,nishant@gmail.com,9876543342,NISHANT SINGH,DEE,9087654453,member,SFA4062
DEE1139,pradeep1@gmail.com,9876543343,PRADEEP KUMAR,DEE,9087654454,collection member,SFA4064
DEE1609,pradeep2@gmail.com,9876543344,PRADEEP KUMAR MEENA,DEE,9087654455,member,SFA4065
DEE1115,pradeep3@gmail.com,9876543345,PRADEEP SINGH NEGI,DEE,9087654456,member,SFA4066
DEE1752,prateek@gmail.com,9876543346,PRATEEK YADAV,DEE,9087654457,member,SFA4067
DEE1771,pradeep4@gmail.com,9876543347,PRADEEP Kumar/ HS,DEE,9087654458,member,SFA4068
DEE1790,prashant@gmail.com,9876543348,PRASHANT GAHLOT,DEE,9087654459,member,SFA4069
DEE1511,richhipal@gmail.com,9876543349,RICHHIPAL MEENA,DEE,9087654460,member,SFA4071
DEE1730,raj2@gmail.com,9876543350,RAJ KUMAR MEENA,DEE,9087654461,member,SFA4072
DEE1649,roshan@gmail.com,9876543351,ROSHAN KUMAR SINHA,DEE,9087654462,member,SFA4073
DEE1473,ramesh@gmail.com,9876543352,RAMESH KUMAR SINGH,DEE,9087654463,member,SFA4074
DEE1373,rupesh1@gmail.com,9876543353,RUPESH KUMAR,DEE,9087654464,member,SFA4075
DEE 1138,ramkesh1@gmail.com,9876543354,RAMKESH MEENA,DEE,9087654465,member,SFA4076
DEE1877,rajesh3@gmail.com,9876543355,RAJESH KUMAR/SS,DEE,9087654466,member,SFA4077
DEE1769,ravi4@gmail.com,9876543356,RAVI KUMAR DK,DEE,9087654467,member,SFA4078
DEE1290,randhir@gmail.com,9876543357,RANDHIR KUMAR,DEE,9087654468,member,SFA4079
DEE1819,rinku@gmail.com,9876543358,RINKU KUMAR MEENA,DEE,9087654469,member,SFA4080
DEE1434,ramavtar@gmail.com,9876543359,RAMAVTAR,DEE,9087654470,member,SFA4081
DEE1761,ramkesh2@gmail.com,9876543360,RAMKESH MEENA HM,DEE,9087654471,member,SFA4082
DEE1756,rohit@gmail.com,9876543361,ROHIT KUMAR,DEE,9087654472,member,SFA4083
DEE1701,rohitashw@gmail.com,9876543362,ROHITASHW KUMAR DADRWAL,DEE,9087654473,member,SFA4084
DEE1572,rajesh4@gmail.com,9876543363,RAJESH KUMAR RCM,DEE,9087654474,member,SFA4085
DEE1694,rajesh5@gmail.com,9876543364,RAJESH KUMAR MEENA,DEE,9087654475,member,SFA4086
DEE1682,rajendra@gmail.com,9876543365,RAJENDRA KUMAR MEENA BSM,DEE,9087654476,member,SFA4087
DEE1069,ram1@gmail.com,9876543366,RAM DHAN MEENA,DEE,9087654477,member,SFA4088
DEE1530,rakesh@gmail.com,9876543367,RAKESH KUMAR MEENA,DEE,9087654478,member,SFA4089
DEE1090,sahaj@gmail.com,9876543368,SAHAJ RAM,DEE,9087654479,member,SFA4090
DEE1551,suresh2@gmail.com,9876543369,SURESH CHAND MEENA RK,DEE,9087654480,member,SFA4092
DEE1201,shivlahari@gmail.com,9876543370,SHIVLAHARI MEENA,DEE,9087654481,collection member,SFA4093
DEE1671,sanjay2@gmail.com,9876543371,SANJAY KUMAR SINGH,DEE,9087654482,member,SFA4094
DEE1097,santosh@gmail.com,9876543372,SANTOSH KUMAR SADA,DEE,9087654483,member,SFA4095
DEE1535,shivram@gmail.com,9876543373,SHIVRAM MEENA,DEE,9087654484,member,SFA4096
DEE1191,sushil2@gmail.com,9876543374,SUSHIL KUMAR,DEE,9087654485,member,SFA4098
CMS1105,sanjay3@gmail.com,9876543375,SANJAY KUMAR RD,DEE,9087654486,member,SFA4099
DEE1779,shailesh@gmail.com,9876543376,SHAILESH KUMAR,DEE,9087654487,member,SFA4100
DEE1691,satyabhan@gmail.com,9876543377,SATYABHAN,DEE,9087654488,member,SFA4101
DEE1297,sanjay4@gmail.com,9876543378,SANJAY KUMAR/PR,DEE,9087654489,member,SFA4103
DEE1123,satya@gmail.com,9876543379,SATYA PRAKASH GUPTA,DEE,9087654490,member,SFA4105
DEE1641,sandeep2@gmail.com,9876543380,SANDEEP KUMAR,DEE,9087654491,collection member,SFA4106
DEE1508,sant@gmail.com,9876543381,SANT RAM MEENA,DEE,9087654492,member,SFA4107
DEE1205,sham@gmail.com,9876543382,SHAM SHER SINGH,DEE,9087654493,member,SFA4108
DEE1409,sudhir2@gmail.com,9876543383,SUDHIR KUMAR PS,DEE,9087654494,member,SFA4109
DEE1650,sandeep3@gmail.com,9876543384,SANDEEP VERMA,DEE,9087654495,member,SFA4110
DEE1296,udai@gmail.com,9876543385,UDAI LAL MEENA,DEE,9087654496,member,SFA4112
DEE1739,vinay@gmail.com,9876543386,VINAY KUMAR,DEE,9087654497,member,SFA4113
DEE1665,veer@gmail.com,9876543387,VEER SINGH,DEE,9087654498,member,SFA4114
DEE1217,vinod3@gmail.com,9876543388,VINOD KUMAR,DEE,9087654499,member,SFA4115
DEE1486,vikram@gmail.com,9876543389,VIKRAM KUMAR,DEE,9087654500,member,SFA4117
DEE1808,vikas2@gmail.com,9876543390,VIKAS SAINI,DEE,9087654501,member,SFA4118
DEE1651,vikas3@gmail.com,9876543391,VIKAS SINGH,DEE,9087654502,member,SFA4119
DEE1758,vinod4@gmail.com,9876543392,VINOD KUMAR SAH,DEE,9087654503,member,SFA4120
DEE1438,vimal@gmail.com,9876543393,VIMAL KUMAR MEENA,DEE,9087654504,member,SFA4121
DEE1100,amit2@gmail.com,9876543394,AMIT KUMAR,DEE,9087654505,member,SFA4123
DEE1502,nand2@gmail.com,9876543395,NAND KISHOR MEENA,DEE,9087654506,member,SFA4125
DEE1770,ashwani2@gmail.com,9876543396,ASHWANI KUMAR BP,DEE,9087654507,member,SFA4126
DEE1630,happy@gmail.com,9876543397,HAPPY JAJORIA,DEE,9087654508,member,SFA4127
DEE1868,akshay@gmail.com,9876543398,Akshay,DEE,9087654509,member,SFA4129
DEE1453,geela@gmail.com,9876543399,GEELA RAM MEENA,DEE,9087654510,member,SFA4130
DEE1738,sidhnath@gmail.com,9876543400,SIDHNATH PAL,DEE,9087654511,member,SFA4131
DEE1635,mitesh@gmail.com,9876543401,MITESH SAINI,DEE,9087654512,collection member,SFA4134
DEE1614,ankit2@gmail.com,9876543402,ANKIT KUMAR,DEE,9087654513,member,SFA4135
DEE1433,ejaz@gmail.com,9876543403,EJAZ AKHTAR,DEE,9087654514,member,SFA4137
DEE1592,dharma@gmail.com,9876543404,DHARMA CHAND MEENA,DEE,9087654515,member,SFA4138
DEE1111,bhawani@gmail.com,9876543405,BHAWANI SHANKAR MEENA,DEE,9087654516,member,SFA4139
